104305	11251	USM, bud-çanaq	Radyoloji Hizmeti	984	2.1.218
108296	19678	Patoloji konsultasiya	Konsültasyon Hizmeti	984	2.4.28
105092	13846	Anti-HBc IgG, Hepatit B (HBV) c səthi antigen antikoru, ELISA	Laboratuar Hizmeti	981	
100133	14812	IM inyeksiya	Diğer Hizmet	976	2.1.522
117311	16428	Nefroloji müayinə	Muayene Hizmeti	968	2.1.1
126631	53607	Preop Angiyo Paketi	CheckUp	963	
113519	43906	Dəmir bağlama qabiliyyəti, doymamış (UIBC)	Laboratuar Hizmeti	962	2.4.156
106014	15815	Rəngli Doppler USM, aşağı ətraf venaları, birtərəfli	Radyoloji Hizmeti	956	2.1.236
109405	33672	Manual Terapiya	Fizik Tedavi Hizmeti	954	
105712	10533	Kolonoskopiya, total	Diğer Hizmet	941	2.1.452
128095	55072	Əzələ gücləndirmə məşqi, saatlik	Fizik Tedavi Hizmeti	934	
107131	14828	Əməliyyat otağının açılışı, böyük 300-499	Ameliyathane	926	
100057	19630	Psixoloq müayinəsi	Muayene Hizmeti	924	2.1.1
111827	39133	Bədən Baxımı (Bady-Lifter)	Diğer Hizmet	887	
106140	11366	MRT, bel fəqərələri, kontrastsız	Radyoloji Hizmeti	887	2.1.319
104836	13108	IgE testi	Laboratuar Hizmeti	884	2.4.306
104703	13375	Luteinləşdirən hormon (LH) testi	Laboratuar Hizmeti	883	2.4.165
105129	13851	Anti-tiroqlobulin anticismi (Anti-Tg)	Laboratuar Hizmeti	879	2.4.398
128519	55515	Kafeterya, meyveli yoğurt	Diğer Hizmet	879	
104677	13374	Kortizol, serum	Laboratuar Hizmeti	859	2.4.93
108460	18496	Mammoqrafiya, iki tərəfli	Radyoloji Hizmeti	858	2.1.172
103758	11880	Buynuz qişanın topoqrafiyası	Diğer Hizmet	849	2.1.354
110001	35018	Yenidoğulmuş intensiv baxım yataq xidməti	Yatış Hizmeti	837	
108706	30763	İnfluenza A+B antigeni	Laboratuar Hizmeti	832	
117810	46062	Lipaza, serum	Laboratuar Hizmeti	824	2.4.160
116760	23006	İki kateterdən istifadə etməklə koronar arterioqrafiya	Ameliyat Hizmeti	823	2.5.17
103659	16163	Tənəffüs məşqləri	Fizik Tedavi Hizmeti	819	
130527	57598	3 Tesla MRT fərqi	Diğer Hizmet	812	2.1.325
104981	14996	Aerobik nəcis kulturası	Laboratuar Hizmeti	805	2.4.425
103941	13994	Coombs testi, direkt, kompleman	Laboratuar Hizmeti	804	2.4.402
110060	16016	Əməliyyat sonrası reanimasiya xidməti, şəxsi	Diğer Hizmet	804	
111921	39530	Drug abuse, təsdiqləmə	Laboratuar Hizmeti	802	
109363	14842	Anesteziya, 600-899 ümumi məbləği olan əməliyyatlarda cərrahi bölmələr, B qrupu	Anestezi Hizmeti	802	
107734	10479	Maqnit sahəsi terapiyası	Fizik Tedavi Hizmeti	794	2.2.8
100178	10369	Nazoqastrik borunun daxil edilməsi	Diğer Hizmet	788	2.1.438
104616	13191	Faktor 4 (ionlaşmış kalsium)	Laboratuar Hizmeti	785	
120778	47584	Sistemik riskli müalicə	Diğer Hizmet	785	
105115	13937	Anti-nüvə anticisim (ANA) titri, IFA	Laboratuar Hizmeti	765	2.4.311
105291	17192	İnsan papilloma virusunun (HPV) genotipinin təyini	Laboratuar Hizmeti	762	2.4.923
110298	20882	Sitomeqalovirus (CMV) IgM, MEIA (mikrohissəcik fermenti immun analizi) və ya oxşar	Laboratuar Hizmeti	761	2.4.359
109843	34733	Evde Tibb Xidmeti	Muayene Hizmeti	753	
103862	14031	Spermiogram	Laboratuar Hizmeti	750	2.4.530
104432	30418	Sink (AAS), serum	Laboratuar Hizmeti	742	2.4.743
111039	37060	Mədə, biopsiya çoxlu lokalizasiya, patoloji müayinə	Patoloji Hizmeti	727	2.4.699
111538	38268	KT, bütün qarın tomoqrafiyası, kontrastsız	Radyoloji Hizmeti	726	2.1.269
100067	15577	Tibbi onkoloji kontrol müayinəsi, 10 gündən sonra	Muayene Hizmeti	717	2.1.1
109253	32695	Sidik kisəsi kateterinin tətbiqi, anesteziya və reanimasiya	Diğer Hizmet	711	
104786	13950	Prostat spesifik antigen (PSA) testi, sərbəst	Laboratuar Hizmeti	697	2.4.191
104879	14000	D-dimer, kəmiyyət	Laboratuar Hizmeti	692	2.4.280
105134	30747	Toksoplazma IgM, kemolüminesans və ya oxşar	Laboratuar Hizmeti	688	2.4.392
104416	13359	C peptid	Laboratuar Hizmeti	687	2.4.237
104378	13158	Ammonyak testi	Laboratuar Hizmeti	682	2.4.52
107184	15110	Havalı yataq	Diğer Hizmet	677	
